cluster_id,avg_hourly_demand,median_hourly_demand,max_hourly_demand,min_hourly_demand,std_hourly_demand,total_demand,sparsity,non_zero_hours,rank,cumulative_demand_pct
11,642.9156420765028,748.5,1644.0,0.0,338.68275862314954,1882457.0,0.4098360655737705,2916,1,4.075482650463491
55,424.7896174863388,391.5,1322.0,0.0,307.9455948317495,1243784.0,0.47814207650273227,2914,2,6.768250725869242
1,422.8316256830601,427.5,1332.0,0.0,287.5794983692155,1238051.0,0.4098360655737705,2916,3,9.448606968210488
29,403.5891393442623,417.0,872.0,0.0,187.3737568259104,1181709.0,0.44398907103825136,2915,4,12.006983880616222
88,364.76024590163934,333.0,1204.0,0.0,201.87281806777128,1068018.0,0.3756830601092896,2917,5,14.319221997812374
68,354.8025956284153,384.0,876.0,0.0,185.8877699955443,1038862.0,0.6830601092896175,2908,6,16.568337944272667
43,337.3941256830601,356.5,948.0,0.0,205.98253147444575,987890.0,0.34153005464480873,2918,7,18.70710050594944
38,331.44159836065575,360.0,816.0,0.0,182.45971330947827,970461.0,0.5122950819672131,2913,8,20.808129622923403
6,309.99590163934425,315.0,935.0,0.0,183.4427528612711,907668.0,0.5806010928961749,2911,9,22.77321312091613
59,309.5,340.0,870.0,0.0,213.04397245366602,906216.0,0.4098360655737705,2916,10,24.73515306725882
65,303.15744535519127,330.0,846.0,0.0,191.64604660839117,887645.0,0.7172131147540983,2907,11,26.65688716119598
17,290.5061475409836,325.0,779.0,0.0,163.0705430544562,850602.0,0.34153005464480873,2918,12,28.49842388338913
48,283.5515710382514,292.5,946.0,0.0,163.2738599268714,830239.0,0.4098360655737705,2916,13,30.29587510816513
23,272.0379098360656,302.0,663.0,0.0,157.9961583649512,796527.0,0.6147540983606558,2910,14,32.020340511160114
50,262.4972677595628,284.0,687.0,0.0,150.46501429070221,768592.0,0.5122950819672131,2913,15,33.6843271845795
58,258.26127049180326,273.0,728.0,0.0,165.08042487992216,756189.0,0.6147540983606558,2910,16,35.321461605164586
63,251.81079234972677,260.0,708.0,0.0,141.12861880001876,737302.0,0.4098360655737705,2916,17,36.91770603951397
8,248.2233606557377,245.0,779.0,0.0,140.995307636754,726798.0,0.3756830601092896,2917,18,38.491209518951514
53,222.8719262295082,230.0,565.0,0.0,126.31866387012006,652569.0,0.546448087431694,2912,19,39.90400866269307
