feature,importance_shap
T2_S37_lag_1,0.11552836
T2_S7_lag_24,0.11474471
T2_S20_lag_22,0.11437865
T0_S25_lag_6,0.11426153
T2_S8_lag_23,0.11407212
T2_S50_lag_2,0.11299455
T0_S78_lag_16,0.11190226
T2_S30_lag_7,0.110293046
T0_S0_lag_13,0.11002563
T0_S0_lag_6,0.107800566
T0_S0_lag_14,0.10769885
T0_S75_lag_11,0.10737233
T0_S45_lag_9,0.10712443
T4_S48_lag_24,0.10687012
T0_S61_lag_14,0.10641738
T2_S36_lag_2,0.10636365
T0_S0_lag_2,0.106245734
T2_S35_lag_6,0.10608855
T0_S23_lag_9,0.10567344
T2_S35_rolling_mean_6,0.104115665
T0_S34_lag_10,0.10362303
T0_S74_lag_10,0.10344753
T1_S11_lag_21,0.10214919
T2_S12_lag_10,0.10214134
T0_S62_lag_6,0.10208778
T0_S37_rolling_mean_24,0.10207202
T0_S14_rolling_mean_24,0.101805076
T4_S10_lag_12,0.10162722
T1_S6_lag_11,0.10133325
T2_S61_lag_2,0.10111884
T0_S1_lag_10,0.10108154
T0_S21_lag_16,0.10020249
T2_S63_lag_2,0.09998771
T2_S4_lag_1,0.09996406
T2_S35_lag_3,0.09833959
T0_S79_lag_12,0.098298006
T2_S45_lag_23,0.09757033
T2_S4_rolling_mean_6,0.09653554
T0_S49_lag_12,0.0961778
T2_S29_lag_3,0.09449923
T0_S41_lag_5,0.09427481
T1_S59_lag_22,0.09284869
T2_S57_lag_24,0.09258389
T2_S51_lag_3,0.09183405
T2_S45_lag_6,0.091455504
T0_S10_lag_15,0.091109104
T0_S74_lag_15,0.090651624
T0_S0_lag_3,0.08965958
T0_S1_lag_7,0.089094594
T0_S59_lag_10,0.08805115
T0_S0_lag_10,0.087449834
T2_S8_rolling_mean_24,0.08727081
T0_S6_lag_11,0.08640918
T0_S81_lag_8,0.0863286
T0_S23_lag_11,0.086136386
T0_S13_lag_13,0.08583092
T2_S22_lag_1,0.08528158
T1_S23_lag_21,0.08525839
T1_S44_lag_6,0.085111804
T2_S15_lag_3,0.08466817
T0_S19_lag_8,0.08423599
T1_S68_lag_7,0.08326588
T2_S11_rolling_std_6,0.08325828
T2_S1_lag_4,0.083225325
T2_S14_lag_2,0.08264212
T0_S20_lag_15,0.08263583
T2_S17_rolling_std_6,0.08219001
T0_S47_lag_16,0.08170075
T0_S31_lag_10,0.08086584
T0_S78_lag_7,0.08086523
T2_S10_lag_1,0.08074197
T0_S3_lag_15,0.0800354
T0_S22_lag_11,0.07939327
T1_S76_lag_9,0.07823461
T0_S20_rolling_mean_24,0.07800775
T2_S42_lag_1,0.07767047
T2_S0_lag_24,0.07757313
T2_S41_lag_1,0.07711869
T0_S22_lag_17,0.07610915
T0_S52_lag_12,0.07575199
T0_S33_lag_10,0.07508997
T0_S36_lag_17,0.07483571
T2_S37_rolling_std_6,0.074208155
T2_S46_rolling_std_6,0.07419219
T0_S44_lag_13,0.07360704
T0_S46_lag_12,0.07359248
T2_S35_lag_2,0.07344745
T0_S25_lag_19,0.073442176
T0_S64_lag_10,0.07318555
T1_S1_lag_7,0.073079206
T0_S0_lag_20,0.072399296
T2_S12_rolling_std_6,0.07165202
T4_S10_lag_16,0.07119544
T0_S39_lag_9,0.07105558
T0_S19_lag_18,0.07051602
T2_S20_rolling_mean_24,0.07029189
T0_S53_lag_12,0.07015249
T2_S4_lag_4,0.06951969
T4_S141_lag_12,0.069517836
T0_S33_lag_13,0.069172546
T0_S25_lag_14,0.06874554
T2_S59_rolling_std_6,0.06860257
T0_S17_lag_13,0.06822153
T2_S28_lag_1,0.06809211
T0_S62_rolling_mean_24,0.067738816
T2_S55_lag_23,0.067168936
T0_S40_lag_17,0.066624925
T2_S20_lag_4,0.066379644
T0_S35_lag_2,0.0660304
T0_S33_lag_11,0.06592488
T0_S48_lag_9,0.065485306
T0_S39_lag_13,0.06547448
T0_S61_lag_6,0.06509635
T0_S20_lag_17,0.064976044
T2_S20_lag_20,0.06456891
T2_S56_lag_2,0.0638368
T0_S10_lag_7,0.0637152
T2_S46_lag_22,0.06355684
T0_S34_lag_6,0.063503854
