feature,importance_shap
T0_S51_lag_9,0.077931754
T0_S74_lag_9,0.0778407
T0_S34_rolling_std_6,0.077723846
T0_S8_lag_9,0.07771596
T2_S30_lag_1,0.07764364
T0_S53_lag_12,0.077146985
T2_S19_lag_10,0.07710221
T0_S0_lag_13,0.07677803
T0_S29_lag_9,0.076077975
T0_S9_lag_11,0.074496046
T2_S5_rolling_mean_6,0.07402826
T0_S63_lag_10,0.073965356
T0_S68_lag_11,0.073961
T0_S62_lag_9,0.07349871
T0_S19_lag_7,0.07342211
T1_S35_lag_21,0.07331034
T0_S4_lag_9,0.07310196
T1_S31_lag_1,0.072570294
T0_S25_lag_10,0.07202312
T0_S18_rolling_std_6,0.07199244
T0_S3_lag_8,0.07172318
T0_S57_lag_9,0.07075645
T0_S25_lag_6,0.07071626
T2_S54_lag_1,0.070704944
T0_S38_lag_11,0.07032202
T2_S26_lag_1,0.06948081
T0_S0_lag_4,0.0694602
T4_S117_lag_17,0.06795176
T2_S49_lag_3,0.06794132
T1_S61_lag_8,0.067661926
T4_S9_lag_12,0.06680115
T0_S22_lag_6,0.06635224
T0_S37_lag_12,0.06628653
T5_S58_lag_1,0.066084154
T2_S0_lag_1,0.064872995
T0_S54_lag_10,0.0642931
T2_S63_lag_2,0.064195
T0_S41_lag_9,0.06413387
T0_S24_lag_1,0.06390549
T2_S20_lag_1,0.06377773
T2_S52_lag_1,0.063234136
T2_S41_rolling_std_6,0.062858805
T2_S35_lag_1,0.06259346
T2_S41_lag_23,0.06234052
T0_S0_lag_3,0.062320832
T0_S14_lag_10,0.062218655
T0_S13_lag_8,0.062076785
T0_S48_lag_9,0.061946247
T0_S79_lag_9,0.06189275
T0_S13_lag_7,0.061365068
T0_S22_lag_9,0.061100904
T0_S57_lag_8,0.06102465
T0_S68_lag_15,0.06090643
T0_S25_rolling_std_6,0.060695477
T0_S1_lag_9,0.060622595
T3_S32_lag_1,0.060583666
T2_S63_rolling_std_6,0.06008729
T2_S57_rolling_std_6,0.059650958
T0_S38_lag_9,0.058977794
T0_S80_lag_12,0.058926906
T2_S32_lag_1,0.05892598
T5_S6_lag_5,0.0589247
T0_S22_lag_10,0.058922037
T0_S19_lag_8,0.058833215
T1_S20_lag_1,0.058628563
T5_S73_lag_5,0.058448594
T0_S32_lag_1,0.05820479
T0_S73_lag_11,0.05816869
T0_S21_lag_9,0.05779521
T0_S14_lag_11,0.057408933
T0_S81_lag_1,0.057276476
T0_S21_lag_7,0.057158753
T0_S32_lag_10,0.05688442
T2_S63_lag_1,0.056568943
T0_S71_lag_11,0.056535132
T0_S1_lag_12,0.056165375
T0_S78_lag_9,0.05558454
T2_S56_lag_3,0.055479232
T0_S20_lag_11,0.055300258
T2_S7_lag_1,0.05527442
T0_S59_lag_11,0.05522184
T4_S80_lag_11,0.055137932
T0_S10_lag_8,0.055123143
T2_S41_lag_1,0.05506203
T0_S62_lag_11,0.054621212
T0_S19_lag_10,0.054474283
T2_S20_lag_2,0.054175533
T0_S33_lag_9,0.054089565
T0_S8_lag_10,0.053990368
T0_S15_lag_9,0.05369218
T5_S15_rolling_std_6,0.05357134
T2_S8_lag_1,0.053547032
T0_S40_lag_11,0.05333231
T0_S62_lag_12,0.053029366
T2_S12_lag_10,0.052604213
T0_S81_lag_9,0.05240812
T4_S125_lag_10,0.05182587
T0_S8_lag_12,0.05181333
T4_S21_lag_17,0.05172721
T0_S40_lag_14,0.051622227
T0_S80_lag_1,0.051611494
T0_S74_lag_1,0.051428266
T2_S27_lag_10,0.051288012
T4_S113_lag_11,0.050783537
T0_S23_lag_7,0.05072232
T0_S26_lag_10,0.05069262
T0_S42_lag_11,0.050392102
T0_S73_lag_8,0.050154883
T2_S13_rolling_std_6,0.05015045
T2_S37_rolling_std_6,0.049674515
T0_S31_lag_9,0.049566723
T0_S5_lag_8,0.04955925
T0_S0_lag_5,0.049224928
T2_S5_lag_7,0.049218778
T0_S32_lag_8,0.049216572
T0_S68_lag_1,0.049068715
T0_S9_lag_7,0.048917096
T2_S46_lag_1,0.048885144
T2_S36_lag_7,0.04872526
T0_S30_lag_9,0.048302434
T5_S64_lag_1,0.04826259
T0_S72_lag_1,0.04825101
T0_S44_lag_12,0.048171654
T5_S37_lag_9,0.04791551
T5_S0_lag_5,0.047852527
T0_S15_lag_10,0.04765416
T2_S20_lag_24,0.04727768
T0_S31_lag_10,0.047277074
T0_S7_lag_10,0.047231257
T2_S25_lag_22,0.046866976
T0_S59_rolling_std_6,0.046823952
T0_S11_lag_9,0.046746664
T0_S24_lag_12,0.046423905
T2_S3_lag_1,0.046367865
T0_S80_lag_7,0.046275616
T2_S20_rolling_mean_6,0.045733467
T0_S24_lag_8,0.045677956
T0_S59_lag_1,0.045557775
T0_S26_lag_9,0.045258522
T0_S58_lag_12,0.045190092
T0_S75_lag_11,0.045127787
T0_S66_lag_12,0.045119632
T0_S1_lag_10,0.04511511
T0_S34_lag_10,0.04498714
T3_S78_lag_19,0.04469954
T4_S29_lag_12,0.044678416
T1_S0_lag_1,0.044615086
T0_S45_lag_16,0.044445004
T0_S39_lag_9,0.04439282
T2_S24_lag_1,0.044370804
T0_S43_lag_8,0.044294152
T0_S43_lag_11,0.044204917
T2_S62_lag_24,0.043732587
T2_S51_lag_1,0.043592162
T0_S40_lag_9,0.04352618
T0_S61_lag_12,0.043523356
T0_S13_rolling_std_6,0.04349731
T2_S39_lag_1,0.043390375
T1_S51_rolling_mean_24,0.04320236
T1_S76_lag_9,0.04306721
T0_S60_lag_9,0.042975154
T0_S79_lag_12,0.042914238
T0_S36_lag_10,0.042771373
T2_S21_lag_1,0.042763717
T0_S36_rolling_std_6,0.04268428
T0_S32_lag_9,0.042605408
T2_S31_lag_1,0.042234965
T0_S15_lag_11,0.04220736
T0_S23_lag_16,0.042130195
T0_S34_lag_11,0.041919343
T0_S0_lag_11,0.04179276
T4_S10_lag_12,0.04178297
T0_S0_rolling_mean_24,0.041768357
T0_S41_lag_6,0.041706387
T0_S35_lag_7,0.041561857
T0_S30_lag_12,0.04155263
T0_S82_lag_11,0.04154681
T0_S15_lag_12,0.041394357
T2_S1_lag_2,0.04109494
T2_S9_rolling_std_6,0.041066695
T5_S44_lag_5,0.04106556
T0_S27_rolling_std_6,0.04092033
T4_S2_lag_8,0.040590536
T4_S120_lag_10,0.04047552
T2_S56_lag_1,0.040238705
T3_S32_rolling_mean_6,0.040035587
T2_S48_rolling_std_6,0.039992087
T0_S17_lag_11,0.039931796
T0_S82_lag_2,0.03979509
T2_S1_lag_1,0.039701827
T1_S0_lag_7,0.03944222
T1_S28_lag_21,0.039291024
T2_S20_lag_22,0.038603723
T0_S42_lag_10,0.038589843
T2_S20_lag_20,0.03839154
T0_S26_lag_6,0.03831568
T5_S2_lag_8,0.038294867
T0_S62_rolling_mean_24,0.03825128
T1_S14_lag_8,0.03816743
T2_S6_lag_1,0.038138695
T0_S71_lag_1,0.037946768
T0_S9_lag_10,0.03781621
T0_S1_lag_1,0.037757706
T2_S36_rolling_std_6,0.037664294
T0_S55_lag_9,0.03764389
T2_S60_rolling_std_6,0.037567716
T0_S9_lag_9,0.037525855
T0_S64_lag_10,0.037300337
T5_S45_lag_2,0.03712937
T2_S28_lag_2,0.036937077
T0_S5_lag_16,0.036857475
T0_S70_lag_10,0.03681373
T0_S64_lag_11,0.03680162
T4_S75_lag_17,0.03679983
T0_S13_lag_10,0.03677709
T0_S37_lag_9,0.03674472
T0_S22_lag_14,0.03664792
T2_S37_lag_23,0.036567166
T0_S24_lag_9,0.036500804
T5_S1_lag_12,0.03645783
T0_S53_lag_13,0.03643171
T0_S6_lag_8,0.036389686
T1_S11_lag_21,0.03633607
T0_S25_lag_7,0.036327068
T5_S73_lag_6,0.036036715
T0_S44_lag_5,0.035973854
T0_S31_lag_8,0.035822645
T0_S21_lag_11,0.035756033
T0_S22_lag_11,0.035718568
T4_S127_lag_10,0.035714634
T2_S54_rolling_std_6,0.03568451
T0_S16_lag_8,0.03564089
T4_S4_lag_18,0.035627373
T4_S55_rolling_mean_6,0.035599664
T0_S45_lag_4,0.035562173
T2_S40_lag_1,0.035546295
T0_S57_lag_12,0.03541433
T0_S62_lag_4,0.035376336
T0_S56_lag_10,0.035358164
T0_S33_lag_10,0.03516573
T0_S61_lag_7,0.035116132
T2_S53_lag_2,0.034422807
T0_S52_lag_9,0.034233574
T0_S23_lag_9,0.03421708
T0_S65_lag_11,0.034081623
T0_S52_lag_11,0.03404255
T0_S61_lag_6,0.03394844
T3_S9_lag_19,0.033930283
T0_S45_lag_7,0.033849176
T2_S19_rolling_mean_6,0.033810314
T0_S76_lag_12,0.033794507
T0_S73_lag_9,0.03368521
T3_S66_lag_19,0.033560716
T0_S47_lag_12,0.033529803
T0_S46_lag_12,0.03346498
T0_S5_lag_9,0.033228796
T0_S75_lag_9,0.033216115
T3_S23_lag_1,0.033201743
T0_S17_lag_9,0.033154022
T0_S48_lag_8,0.033043887
T1_S53_lag_2,0.032617655
T2_S25_rolling_std_6,0.032453977
T2_S25_lag_1,0.032402936
T2_S38_rolling_std_6,0.032301817
T0_S73_lag_12,0.032175552
T0_S39_lag_6,0.032173194
T0_S69_lag_9,0.03212792
T0_S60_lag_10,0.032124255
T5_S2_lag_1,0.03210371
T0_S64_rolling_mean_24,0.03205288
T0_S36_lag_4,0.03194305
T0_S48_lag_11,0.031938862
T1_S17_lag_1,0.03180437
T0_S19_lag_1,0.031594
T0_S54_lag_12,0.03154499
T0_S13_lag_13,0.03153397
T0_S2_lag_8,0.03143371
T0_S75_lag_13,0.031380467
T0_S0_lag_14,0.03126615
T0_S0_lag_15,0.031234374
T0_S55_lag_8,0.031203786
T4_S1_rolling_mean_24,0.031141918
T3_S24_lag_19,0.031028472
T1_S14_lag_1,0.030972486
T3_S61_lag_19,0.03087874
T0_S65_lag_16,0.030778298
T2_S29_lag_24,0.030752895
T0_S54_lag_11,0.030684166
T4_S10_lag_1,0.030585755
T0_S24_lag_11,0.030582778
T0_S71_lag_7,0.030575283
T2_S35_lag_2,0.03051504
T0_S3_lag_10,0.030413806
T0_S30_lag_10,0.030373044
T0_S17_lag_3,0.030241715
T0_S17_lag_14,0.030181404
T0_S24_lag_13,0.030102562
T0_S27_lag_7,0.030023161
T0_S21_rolling_std_6,0.029928379
T0_S56_lag_11,0.029905643
T2_S13_lag_1,0.02988196
T0_S40_lag_8,0.029820854
T4_S10_lag_17,0.029648364
T5_S6_lag_4,0.029544165
T0_S17_lag_8,0.029486561
T0_S41_lag_12,0.029445095
T0_S14_lag_12,0.029367467
T2_S43_lag_24,0.029229857
T2_S14_lag_2,0.029094607
T0_S68_lag_10,0.029079616
T2_S16_rolling_std_6,0.029048992
T5_S0_lag_12,0.029041115
T0_S44_lag_6,0.0290283
T0_S21_lag_10,0.029003982
T0_S72_lag_11,0.028994715
T2_S50_lag_2,0.028933516
T0_S82_rolling_mean_6,0.028874436
T0_S39_lag_1,0.028800499
T0_S32_lag_12,0.028750384
T0_S26_lag_11,0.028710209
T4_S28_lag_10,0.028521366
T5_S49_rolling_std_6,0.028511016
T0_S72_lag_15,0.028309848
T0_S7_lag_11,0.028240107
T2_S33_rolling_std_6,0.027976494
T2_S25_lag_23,0.027907437
T0_S70_lag_14,0.027903592
T0_S72_lag_5,0.027877068
T0_S51_lag_10,0.02780023
T0_S59_lag_10,0.02763026
T0_S20_lag_1,0.027628547
T0_S36_lag_11,0.027614258
T0_S68_rolling_mean_24,0.02759892
T1_S77_lag_1,0.027566176
T0_S64_lag_6,0.02749504
T0_S74_lag_10,0.027471345
T2_S46_lag_2,0.02736062
T0_S63_lag_6,0.02733076
T0_S38_lag_2,0.027229803
T1_S58_rolling_std_6,0.027056288
T2_S58_lag_1,0.027050065
T0_S12_rolling_std_6,0.02701778
T0_S64_lag_1,0.026990116
T0_S10_lag_16,0.026967635
T2_S48_lag_2,0.026940774
T0_S46_lag_8,0.026872063
T4_S0_lag_18,0.026760193
T4_S119_lag_17,0.02652483
T1_S5_lag_23,0.02645365
T2_S47_lag_3,0.026353328
T0_S11_lag_8,0.026347956
T2_S19_lag_5,0.026230609
T2_S55_lag_2,0.026161693
T0_S70_lag_13,0.026141005
T3_S73_lag_2,0.026108218
T2_S48_lag_7,0.02610075
T0_S64_lag_9,0.02600847
T0_S80_lag_15,0.025994377
T0_S48_lag_1,0.025974793
T0_S23_lag_11,0.025934745
T5_S16_lag_11,0.02569624
T2_S19_lag_11,0.025682306
T2_S21_lag_23,0.02568039
T5_S31_lag_1,0.025531214
T0_S11_lag_11,0.025495917
T1_S44_lag_1,0.025457762
T0_S37_lag_1,0.025439005
T0_S17_lag_4,0.025379358
T1_S1_lag_1,0.025330024
T0_S20_lag_10,0.025276486
T0_S46_lag_11,0.02527147
T2_S28_rolling_std_6,0.025265992
T0_S77_lag_10,0.025244005
T4_S100_lag_18,0.025236206
T0_S21_lag_16,0.02515032
T0_S35_lag_9,0.025138168
T0_S37_lag_10,0.025118632
T0_S20_lag_17,0.025091112
T0_S76_lag_11,0.025082061
T0_S10_lag_15,0.025064765
T0_S0_lag_16,0.025050335
T0_S45_lag_9,0.025026174
T0_S52_lag_6,0.024958035
T1_S42_lag_10,0.024926877
T0_S53_lag_8,0.024906378
T4_S112_lag_11,0.02481194
T2_S47_rolling_mean_6,0.024804832
T0_S16_lag_10,0.024764812
T2_S9_lag_2,0.024757229
T0_S23_lag_12,0.024753548
T0_S4_lag_6,0.0246165
T0_S48_lag_10,0.024608927
T5_S18_lag_2,0.024602586
T0_S61_lag_5,0.024598442
T2_S40_rolling_std_6,0.024597852
T0_S37_lag_13,0.02449095
T2_S45_lag_23,0.0244791
T0_S39_rolling_std_6,0.024357088
T0_S15_lag_8,0.024338784
T1_S33_lag_1,0.024169944
T0_S76_lag_6,0.024134615
T2_S6_rolling_mean_24,0.024102578
T0_S40_lag_10,0.024054294
T2_S5_lag_2,0.02402714
T0_S70_lag_9,0.024006974
T0_S39_lag_13,0.02398839
T0_S18_lag_8,0.023977764
T0_S79_lag_10,0.02390065
T0_S49_lag_10,0.023887314
T0_S25_lag_1,0.023811696
T2_S6_lag_22,0.02376452
T4_S122_lag_10,0.0237583
T0_S47_rolling_std_6,0.023682911
T0_S20_rolling_mean_24,0.023655193
T5_S17_lag_4,0.023616413
T0_S29_lag_8,0.02355315
T3_S6_lag_19,0.02338845
T0_S64_lag_13,0.023366392
T5_S20_rolling_std_6,0.023280853
T2_S19_lag_3,0.02325077
T0_S68_lag_8,0.02322701
T0_S72_lag_9,0.023176549
T3_S65_lag_19,0.023171391
T1_S4_lag_21,0.02317057
T0_S13_lag_11,0.023162903
T2_S49_lag_2,0.023104366
T0_S28_lag_8,0.02306395
T0_S9_lag_1,0.023028126
T0_S20_lag_13,0.023010772
T5_S15_lag_1,0.023001146
T0_S76_lag_8,0.022943133
T3_S77_lag_19,0.022918466
T0_S37_rolling_std_6,0.022910925
T0_S70_lag_1,0.022910325
T5_S37_rolling_std_6,0.022856789
T0_S12_lag_10,0.022835044
T2_S53_rolling_std_6,0.022813888
T0_S65_lag_13,0.022725338
T0_S57_lag_10,0.022698002
T0_S74_lag_12,0.022636479
T0_S31_lag_12,0.02250693
T2_S41_lag_4,0.022357063
T1_S16_lag_1,0.022303956
T2_S11_lag_10,0.022297187
T0_S17_rolling_mean_24,0.022294106
T0_S32_lag_11,0.022279112
T0_S74_lag_8,0.022212066
T0_S28_lag_11,0.022058746
T0_S80_lag_10,0.02200272
T0_S19_lag_11,0.02190265
T0_S30_lag_6,0.021890076
T1_S0_lag_2,0.021885028
T2_S61_rolling_std_6,0.0218193
T0_S17_lag_15,0.021732144
T5_S60_lag_8,0.021679189
T2_S49_rolling_mean_6,0.02164877
T2_S39_lag_2,0.021592852
T0_S64_lag_12,0.02152581
T2_S24_lag_2,0.021470644
T0_S40_lag_16,0.021415165
T0_S50_lag_10,0.021383895
T1_S71_lag_24,0.021366451
T0_S27_lag_6,0.021336723
T2_S48_lag_3,0.02131524
T0_S77_lag_9,0.021286642
T0_S65_lag_14,0.021240992
T2_S11_rolling_mean_6,0.02123489
T0_S39_lag_11,0.021131257
T0_S56_lag_4,0.021131141
T0_S17_lag_13,0.021128679
T2_S51_rolling_std_6,0.021067936
T0_S23_rolling_mean_24,0.021037154
T2_S8_lag_3,0.021011285
T0_S72_lag_10,0.02098331
T5_S76_lag_1,0.020970378
T0_S33_lag_6,0.020931603
T1_S0_lag_22,0.020894049
T0_S58_lag_7,0.02088267
T4_S0_rolling_mean_24,0.020869875
T4_S2_lag_20,0.020807903
T0_S18_lag_6,0.020725973
T4_S111_rolling_mean_6,0.020688606
T2_S29_lag_4,0.020671736
T2_S14_lag_3,0.020601276
