feature,importance_shap
T5_S73_lag_5,0.058891084
T1_S60_lag_8,0.05879652
T5_S64_lag_1,0.05872384
T2_S24_lag_1,0.05822692
T4_S98_lag_12,0.058157165
T1_S67_lag_1,0.058120176
T0_S23_lag_1,0.057757445
T2_S50_lag_167,0.0576691
T5_S7_lag_167,0.05747515
T5_S32_lag_9,0.057440005
T2_S28_lag_1,0.057023086
T3_S68_rolling_std_6,0.056981012
T2_S42_lag_168,0.056823052
T3_S2_lag_168,0.05678072
T2_S48_lag_1,0.056563538
T5_S80_lag_9,0.056178354
T5_S45_lag_52,0.055061188
T5_S21_lag_1,0.054815304
T2_S23_lag_1,0.05461254
T5_S29_lag_15,0.054538775
T2_S38_lag_1,0.054087788
T1_S19_lag_1,0.054077383
T0_S31_lag_8,0.054069936
T4_S38_lag_8,0.05384868
T0_S10_lag_133,0.053433478
T1_S61_lag_55,0.053173747
T4_S1_lag_12,0.0530951
T4_S82_lag_1,0.052579876
T2_S40_lag_168,0.052380767
T2_S0_lag_167,0.052341476
T3_S24_lag_168,0.05214651
T1_S24_lag_1,0.052031413
T1_S54_lag_1,0.05202837
T0_S25_lag_8,0.051856466
T0_S14_lag_168,0.051648293
T0_S19_lag_7,0.05163803
T1_S58_lag_1,0.050689373
T0_S46_lag_10,0.050670374
T5_S35_lag_52,0.050160952
T0_S73_lag_10,0.049980603
T5_S64_lag_12,0.049867477
T0_S44_lag_8,0.049844503
T2_S2_lag_167,0.04974641
T5_S53_lag_168,0.049461413
T3_S3_lag_168,0.049446624
T1_S0_lag_29,0.04894336
T3_S49_lag_63,0.048756097
T0_S38_lag_127,0.04873366
T5_S46_lag_52,0.048510086
T2_S32_rolling_std_6,0.048238378
T0_S0_lag_10,0.04766866
T0_S45_lag_168,0.047506806
T5_S52_lag_52,0.047434088
T0_S4_lag_9,0.047028337
T3_S37_lag_168,0.046623133
T0_S23_lag_8,0.046225376
T0_S45_lag_12,0.046020366
T4_S141_lag_1,0.045677483
T1_S17_lag_41,0.045521326
T1_S41_lag_168,0.04545135
T5_S29_lag_161,0.045431074
T0_S27_lag_11,0.04534221
T0_S0_lag_12,0.045226123
T0_S46_lag_9,0.04517644
T5_S61_lag_1,0.044816837
T2_S64_lag_168,0.04462381
T0_S17_lag_12,0.044551
T4_S28_lag_10,0.044310723
T0_S62_lag_168,0.044110276
T5_S49_lag_52,0.043774575
T3_S53_lag_30,0.04361354
T1_S33_lag_168,0.04329801
T2_S5_lag_3,0.043086134
T0_S36_lag_12,0.04289779
T0_S38_lag_2,0.042789776
T1_S49_lag_1,0.04264198
T3_S53_lag_168,0.042559784
T4_S120_lag_10,0.04246523
T3_S13_lag_1,0.042277478
T5_S19_lag_52,0.042126134
T2_S45_lag_48,0.041983142
T0_S62_lag_3,0.041952934
T2_S18_lag_48,0.04175325
T5_S19_lag_107,0.04168384
T0_S40_lag_168,0.041427076
T0_S47_lag_8,0.04134611
T0_S17_lag_2,0.04129707
T5_S62_lag_52,0.04121398
T2_S5_lag_168,0.0411298
T1_S17_lag_26,0.04104321
T5_S56_lag_52,0.040931415
T0_S7_lag_1,0.040853683
T3_S65_lag_168,0.04048967
T3_S51_lag_168,0.04020832
T2_S4_lag_48,0.039904736
T2_S48_lag_40,0.039743934
T0_S1_lag_1,0.039659802
T0_S4_lag_167,0.03929514
T0_S56_lag_168,0.039060444
T1_S34_lag_168,0.039058622
T0_S79_lag_7,0.039027702
T0_S1_lag_48,0.038987443
T0_S13_lag_9,0.03885043
T1_S17_lag_42,0.0385909
T0_S19_lag_1,0.038426843
T5_S6_lag_52,0.03820942
T3_S60_lag_168,0.03814798
T0_S27_lag_9,0.037485193
T1_S74_rolling_mean_6,0.03744896
T4_S66_lag_12,0.037446477
T2_S56_lag_40,0.037338044
T1_S10_lag_1,0.03731565
T3_S58_lag_1,0.037120968
T4_S46_lag_42,0.037099242
T0_S56_lag_3,0.036855526
T0_S0_lag_126,0.03682401
T0_S71_lag_1,0.036747683
T0_S4_lag_1,0.03673744
T0_S13_lag_6,0.036617
T0_S32_lag_1,0.036029287
T0_S0_lag_7,0.03593704
T0_S42_lag_11,0.035933208
T0_S62_rolling_mean_24,0.035772298
T2_S26_lag_1,0.035770644
T0_S51_lag_11,0.035663676
T2_S48_lag_35,0.035595402
T4_S44_lag_41,0.03558542
T0_S8_lag_11,0.03529177
T1_S6_lag_1,0.035289783
T1_S1_lag_110,0.035282902
T5_S31_lag_52,0.035096314
T2_S41_lag_168,0.03508935
T2_S64_lag_167,0.034964286
T1_S0_lag_26,0.03490344
T0_S62_lag_11,0.034831792
T5_S9_lag_52,0.0348145
T4_S29_lag_1,0.034804795
T1_S17_lag_8,0.034676697
T3_S31_lag_1,0.034616522
T0_S1_lag_9,0.03459905
