feature,importance_gain
f45570,1367.92529296875
f68894,1330.2886962890625
f85685,1328.4010009765625
f29832,1309.9344482421875
f26900,1275.499755859375
f54783,1273.6822509765625
f31871,1247.219970703125
f11883,1228.334228515625
f83048,1225.8243408203125
f15118,1213.349853515625
f24188,1209.33544921875
f7013,1205.0806884765625
f45258,1203.5740966796875
f73592,1190.528564453125
f67214,1180.391845703125
f82369,1147.2093505859375
f1665,1143.23779296875
f77478,1130.6348876953125
f77469,1128.79541015625
f35733,1121.2816162109375
f31170,1117.1630859375
f24528,1107.484375
f43235,1103.91162109375
f85225,1103.05859375
f86737,1097.18896484375
f25892,1093.98486328125
f2312,1093.797607421875
f89253,1081.8109130859375
f61695,1081.0902099609375
f65193,1059.82177734375
f4495,1057.1710205078125
f72400,1054.05029296875
f50776,1042.2001953125
f61167,1040.7908935546875
f56126,1040.231201171875
f52266,1037.767822265625
f69561,1016.337646484375
f26208,1011.5224609375
f32228,1010.0286865234375
f79035,1004.9754638671875
f52264,1003.992919921875
f29178,996.485595703125
f41580,977.1661376953125
f26518,976.2208251953125
f35394,936.6859130859375
f70239,931.322021484375
f3986,914.32568359375
f86571,884.8284301757812
f15123,884.16357421875
f90021,871.8499145507812
f68916,864.97412109375
f17322,863.3572998046875
f130,862.1292114257812
f7684,857.2642211914062
f22681,833.8909301757812
f65199,806.4944458007812
f57327,803.9349975585938
f14588,799.8646240234375
f67047,787.6746826171875
f73268,785.8091430664062
f52118,778.4600830078125
f3485,764.634765625
f31700,764.60791015625
f89115,763.3067626953125
f87748,763.1976318359375
f21338,757.398193359375
f2858,746.056884765625
f36043,725.296875
f2975,720.2620239257812
f44728,712.8486328125
f35511,712.64453125
f2988,709.9730224609375
f49097,687.8192749023438
f47791,685.7205810546875
f15965,682.0634765625
f23489,681.20849609375
f44244,676.8560180664062
f433,669.8109130859375
f62338,666.9756469726562
f7516,665.8331298828125
f42377,661.7190551757812
f6007,660.6026000976562
f87409,650.0137939453125
f17660,645.7222900390625
f63350,644.257568359375
f17641,636.919921875
f71408,634.3794555664062
f52086,632.1551513671875
f82560,618.4796142578125
f74099,608.012939453125
f83882,600.9501342773438
f36765,596.6461181640625
f38320,584.8402709960938
f32850,576.11376953125
f63709,575.9378662109375
f84051,573.874755859375
f62342,570.3311157226562
f29388,570.019775390625
f45760,564.7909545898438
f89289,556.9112548828125
f16296,552.560302734375
f17493,551.7852783203125
f65500,551.608154296875
f7832,550.9995727539062
f60994,549.2813110351562
f42378,544.0476684570312
f74601,539.20751953125
f32031,531.620361328125
f4633,524.30126953125
f32350,522.2997436523438
f35702,516.6030883789062
f53463,509.4210205078125
f6846,504.2076721191406
f19131,500.72650146484375
f39354,497.119140625
f19462,496.61163330078125
f64184,493.81341552734375
f53245,492.55279541015625
f81506,488.82708740234375
f19660,486.9110107421875
f32373,485.78363037109375
f18625,482.5618896484375
f39209,480.9330749511719
f14784,473.2839050292969
f38319,471.384033203125
f32700,468.9815979003906
f59299,462.68792724609375
f77518,456.7027587890625
f48420,454.4824523925781
f68389,448.9024353027344
f1639,448.3372497558594
f8859,444.12103271484375
f2111,441.2169189453125
f74440,436.689453125
f20348,436.5302734375
f36183,434.3231201171875
f56967,424.4519958496094
f44890,419.7919616699219
f27474,417.0330505371094
f125,416.0996398925781
f58499,415.10675048828125
f45401,412.5898742675781
f51954,412.587646484375
f50105,408.6025085449219
f69568,407.0419616699219
f77838,406.0955505371094
f46914,399.3475036621094
f14162,398.59844970703125
f15455,394.9459228515625
f22701,394.62158203125
f7294,392.7619323730469
f3288,392.080322265625
f11018,390.97760009765625
f38996,390.1036376953125
f46939,388.2294616699219
f76,381.7951965332031
f15456,381.4443359375
f29466,374.34747314453125
f71415,366.5947570800781
f18144,366.58123779296875
f4159,365.30767822265625
f9003,363.8305969238281
f43073,362.0016784667969
f83741,360.5617370605469
f37068,355.0857238769531
f32513,347.94183349609375
f39185,342.7693176269531
f76011,342.45654296875
f87414,341.1306457519531
f52931,336.5917053222656
f30160,336.55792236328125
f70382,335.5703125
f42683,335.26153564453125
f48448,333.1799011230469
f23874,332.0004577636719
f50107,331.6400451660156
f18789,329.48699951171875
f1805,322.92535400390625
f8355,319.22076416015625
f72783,318.50677490234375
f69567,312.8032531738281
f55,312.2335205078125
f90518,309.7560119628906
f489,303.259765625
f35564,302.40093994140625
f23519,301.52587890625
f82391,297.7944030761719
f52137,289.00244140625
f42542,285.4527282714844
f5641,284.633544921875
f147,283.42584228515625
f41899,282.9762878417969
f27496,282.04107666015625
f120,280.8179931640625
f42209,279.1628723144531
f8522,276.9766540527344
f64360,276.2942810058594
f63705,276.19097900390625
f85896,275.792724609375
f63497,274.40631103515625
f24360,273.6339416503906
f43932,269.2919616699219
f39691,266.0894470214844
f14302,265.7543640136719
f70744,258.8802490234375
f60826,256.4576110839844
f6154,256.2724304199219
f75778,254.8829803466797
f60300,254.03158569335938
f66881,252.04586791992188
f11045,249.38877868652344
f77165,249.26971435546875
f54107,249.13478088378906
f24862,245.1195068359375
f77833,244.36947631835938
f54139,242.18797302246094
f21187,241.6071014404297
f65698,241.5694580078125
f23856,241.2589111328125
f43049,240.9163055419922
f14781,240.72589111328125
f9196,240.3677978515625
f76181,234.62229919433594
f68557,233.179931640625
f41035,231.27207946777344
f88589,229.6973876953125
f66705,226.5119171142578
f1810,225.73577880859375
f1833,222.4263916015625
f299,222.2216796875
f38063,221.193115234375
f87411,220.8311767578125
f38846,220.588134765625
f68414,219.89840698242188
f23713,218.88427734375
f39904,217.98683166503906
f28842,215.92210388183594
f88248,213.57778930664062
f61652,210.68936157226562
f15814,210.0197296142578
f1300,209.75112915039062
f801,209.51171875
f5507,209.38442993164062
f32204,209.18463134765625
f15626,208.58111572265625
f47410,207.69049072265625
f80859,206.98098754882812
f77218,205.47447204589844
f43050,203.4069366455078
f83385,202.7137908935547
f76975,195.87493896484375
f59293,195.02793884277344
f14134,193.19525146484375
f4801,192.93399047851562
f81394,191.9579315185547
f50109,191.7277374267578
f8353,189.35635375976562
f45405,188.3462677001953
f86238,187.51968383789062
f68049,185.37704467773438
f33543,179.60702514648438
f27356,177.77377319335938
f25218,175.05783081054688
f35545,174.96730041503906
f943,174.64645385742188
f48924,173.569091796875
f74102,172.9990692138672
f82233,171.0697479248047
f47747,170.3082733154297
f45424,170.27212524414062
f64862,169.14498901367188
f10517,168.17926025390625
f40361,166.35679626464844
f52593,164.53001403808594
f57809,163.2557373046875
f14312,162.6177978515625
f77861,161.04336547851562
f53601,160.39781188964844
f13034,159.75491333007812
f48118,159.0988006591797
f2313,158.39454650878906
f67408,157.90744018554688
f46742,153.90670776367188
f53126,153.8629913330078
f23030,153.4703369140625
f2936,152.3868408203125
f41006,152.36180114746094
f14785,150.41796875
f62506,150.23971557617188
f75103,149.41378784179688
f95,145.97409057617188
f38353,144.891357421875
f61168,143.5496368408203
f70794,143.06214904785156
f14788,142.720703125
f76329,142.71087646484375
f269,142.6245880126953
f24243,140.60855102539062
f5356,140.12535095214844
f89808,139.73052978515625
f7512,139.47030639648438
f335,138.77528381347656
f65674,138.75848388671875
f45234,138.40945434570312
f1464,138.0926513671875
f11242,137.8431396484375
f16320,137.4565887451172
f2980,135.58154296875
f47898,133.91375732421875
f35395,133.9020233154297
f35055,133.7610626220703
f40698,133.7213134765625
f65510,132.85818481445312
f53938,132.68026733398438
f69067,131.35348510742188
f53776,131.3466796875
f15288,129.47152709960938
f62509,129.30264282226562
f44385,129.16290283203125
f42217,128.2490234375
f950,126.7508544921875
f19007,124.29107666015625
f44415,122.81758117675781
f13037,122.78193664550781
f88417,122.05457305908203
f21650,120.99755096435547
f80356,120.00909423828125
f40714,119.94113159179688
f29011,119.6820068359375
f35057,119.04393005371094
f57616,118.77471160888672
f85755,118.36549377441406
f56824,118.36138153076172
f89964,117.8598403930664
f76691,117.3063735961914
f4157,116.80522155761719
f42545,115.40240478515625
f795,115.14248657226562
f39519,115.02140808105469
f8865,114.52665710449219
f51956,114.5191650390625
f48308,113.03417205810547
f36568,112.42371368408203
f30165,112.1446533203125
f6842,110.92095947265625
f24211,109.97686767578125
f79493,109.036376953125
f127,108.47903442382812
f19003,108.35263061523438
f633,108.34016418457031
f89809,108.2735595703125
f46067,107.2415771484375
f81193,107.2039794921875
f66544,107.08124542236328
f17807,106.34649658203125
f1132,105.489501953125
f2810,103.992919921875
f45063,103.61946868896484
f17329,103.02421569824219
f69422,102.42931365966797
f74242,101.32469177246094
f52426,101.2174072265625
f24022,101.20578002929688
f66186,99.89794921875
f22341,99.8944091796875
f49435,99.81320190429688
f58171,99.48458862304688
f8740,99.10685729980469
f11498,98.27471923828125
f45591,98.21299743652344
f39374,97.58132934570312
f57831,96.14949798583984
f29511,95.2468032836914
f44940,94.42570495605469
f2477,94.22167205810547
f2814,93.42034912109375
f2172,93.22200012207031
f47939,92.68452453613281
f50130,92.5750732421875
f29512,92.34107971191406
f39216,90.94725799560547
f44916,90.82373046875
f49094,89.2115478515625
f37917,89.19143676757812
f50777,89.06963348388672
f52767,88.8731689453125
f36923,88.85537719726562
f63038,88.81294250488281
f11693,88.08699798583984
f86073,87.5666275024414
f3513,87.5355224609375
f85748,87.22700500488281
f15794,87.12026977539062
f89446,87.03514862060547
f6818,86.81829833984375
f46100,86.39868927001953
f1619,85.82243347167969
f68701,85.62596130371094
f60993,84.38858795166016
f72082,84.34513092041016
f22676,83.99909210205078
f31868,83.78911590576172
f1638,83.14495849609375
f65192,83.08128356933594
f89824,82.6044921875
f39541,81.97246551513672
f23495,81.3743896484375
f82540,81.29196166992188
f8857,81.13005828857422
f29366,80.92915344238281
f88420,80.8447036743164
f84921,80.4938735961914
f54589,79.93386840820312
f78459,79.42886352539062
f47443,79.3525161743164
f39403,78.38005065917969
f42540,78.23262786865234
f23352,77.51641845703125
f79656,77.40079498291016
f13029,77.32645416259766
f26403,77.06991577148438
f2788,77.02993774414062
f46769,77.02410125732422
f74746,76.56275939941406
f46768,75.81739807128906
f20182,75.65648651123047
f20352,75.02304077148438
f12557,74.88641357421875
f43722,74.51045227050781
f24546,74.08011627197266
f10038,73.57742309570312
f75762,73.19725799560547
f33019,73.13872528076172
f67740,72.81391906738281
f28623,71.75153350830078
f90692,71.33990478515625
f85588,70.74010467529297
f48419,69.76277923583984
f22344,69.5912094116211
f84866,69.39445495605469
f77166,69.18427276611328
f29363,68.50961303710938
f63498,68.28328704833984
