,RMSE,MAE,MAPE,R2,Median_AE,RMSE_norm
T2_S63_XGBoost,27.70457872141619,9.371396173150712,46.108851023817685,0.9739199467564155,0.03173354081809521,0.3436966197405354
T2_S63_LSTM,153.72676812757516,63.55457331461199,500.0,0.19702066950949493,3.6220703125,1.9070988626238112
T3_S68_SARIMA,193.19417071951264,98.2486204790164,500.0,-1.4806283147420518,10.930819853337423,4.441489569935685
T3_S68_XGBoost,27.387154265896566,8.509519666219441,81.40983169515357,0.9501497344307342,0.000412976136431098,0.6296243803277113
T3_S68_LSTM,144.2249892710748,61.3868805369692,500.0,-0.38246673713259494,2.7255859375,3.3156993463409234
T2_S3_SARIMA,238.34379730698012,127.08434429670749,500.0,-0.9087117311263508,0.008694620386249696,2.886588261986354
T2_S3_XGBoost,27.2886575746795,10.251867008088023,64.68401765062568,0.9749794427677456,0.02496303617954254,0.33049367984592387
T2_S3_LSTM,148.31049299370756,62.72737669146232,500.0,0.2609456266967971,4.89453125,1.7961924457117306
T1_S74_SARIMA,191.50554570695402,93.6486827127988,500.0,-1.0053318659849069,1.6191282391852626e-06,3.8949648747247942
T1_S74_XGBoost,18.712531338504586,6.351632266805165,108.26582113161038,0.9808535339297134,0.02389943040907383,0.38058768487149713
T1_S74_LSTM,127.33729552636234,50.32745916193182,500.0,0.11338558357068185,2.05078125,2.589869089621993
T2_S26_SARIMA,275.1198976143485,150.32763960873453,500.0,-0.9022763931284494,0.0025394251034787474,2.8368473334323125
T2_S26_XGBoost,19.95518128652447,7.888519494893596,67.56987376557177,0.9899921457655739,0.006885996088385582,0.2057641170693825
T2_S26_LSTM,175.78130359009185,73.61893444882625,500.0,0.22344006944139305,5.181640625,1.8125360131378614
T2_S28_SARIMA,245.55846636853158,132.06603487224393,500.0,-0.8032198998612858,0.0005861253634865512,2.821657611730716
T2_S28_XGBoost,18.318289639232912,6.796886376374285,28.366770133322728,0.9899652002583345,0.0220230333507061,0.2104913838191868
T2_S28_LSTM,152.91080832732035,61.509525572854365,500.0,0.3007777572870678,3.900390625,1.7570640206929231
T1_S10_SARIMA,200.29910146143945,100.13957017215273,500.0,-1.2465681853376736,9.255526469689718e-08,4.040003108025131
T1_S10_XGBoost,23.738664420904705,6.880812330409031,84.8597596133508,0.9684445655026505,0.00601103575900197,0.4788053333293839
T1_S10_LSTM,136.87364901641882,53.246146316163276,500.0,-0.04906233207945543,4.248046875,2.7607211584996945
T3_S3_SARIMA,206.87747672680246,106.59752907749206,500.0,-1.2084028778879263,8.395922967854059,4.017224996359542
T3_S3_XGBoost,23.498469256690104,7.748797085561732,99.47072252340135,0.9715074690986916,0.05717545375227928,0.45630215317650236
T3_S3_LSTM,163.71404991230668,70.82006018241627,500.0,-0.3830051190149151,3.412109375,3.1790612683829464
T2_S13_SARIMA,168.44055993670986,93.68977639852528,500.0,-0.7563247197514216,0.002499965293910303,2.639283054820047
T2_S13_XGBoost,16.48854886609635,6.676105333830822,88.08921766731883,0.9831703016302163,0.08797480911016464,0.2583578897933604
T2_S13_LSTM,111.35821411787154,47.02563593376196,500.0,0.23236286499074954,4.921875,1.7448638715446776
T0_S28_SARIMA,171.6150436853756,131.85759422403532,500.0,-1.32739264607577,77.30627681482477,3.525412240040281
T0_S28_XGBoost,10.087912776367041,3.677442806805751,36.59861307870813,0.991958046004735,0.07960410043597221,0.20723154808889133
T0_S28_LSTM,93.98918861238742,35.22476006466806,500.0,0.3019046451335643,1.31787109375,1.9307784961616492
T2_S42_SARIMA,325.60134542688905,176.98653833056392,500.0,-0.7240397607565325,0.00453569483619156,2.735705776649754
T2_S42_XGBoost,42.733836925011715,14.054476549832065,43.887468957832716,0.970302583305567,0.06040330044925213,0.35905012732944497
T2_S42_LSTM,198.79169242537714,83.57141872570276,500.0,0.3573546666233799,5.833984375,1.670249797663072
T5_S49_SARIMA,182.70920886583576,93.36164972351237,500.0,-1.4562760205941832,0.0003325143891125089,4.040656542286146
T5_S49_XGBoost,24.090267794197192,7.3299461665950965,54.590083889203875,0.9572988521204738,0.05271236225962639,0.5327618611688354
T5_S49_LSTM,133.85229603565213,57.90520802183014,500.0,-0.31828085423757635,7.943359375,2.960174580327964
T3_S22_SARIMA,184.3988774688796,102.66254739402338,500.0,-1.3328410773806052,20.784898234297657,4.174315233242198
T3_S22_XGBoost,18.707358252849847,6.183408429713599,99.14032593993099,0.9759899240169979,0.08547017350792885,0.42348636608034307
