cluster_id,avg_hourly_demand,median_hourly_demand,max_hourly_demand,std_hourly_demand,total_demand,sparsity_pct,non_zero_hours,demand_category
11,642.9156420765028,748.5,1644.0,338.68275862314954,1882457.0,0.4098360655737705,2916,High
55,424.7896174863388,391.5,1322.0,307.9455948317495,1243784.0,0.47814207650273227,2914,High
1,422.8316256830601,427.5,1332.0,287.5794983692155,1238051.0,0.4098360655737705,2916,High
29,403.5891393442623,417.0,872.0,187.3737568259104,1181709.0,0.44398907103825136,2915,High
88,364.76024590163934,333.0,1204.0,201.87281806777128,1068018.0,0.3756830601092896,2917,High
68,354.8025956284153,384.0,876.0,185.8877699955443,1038862.0,0.6830601092896175,2908,High
43,337.3941256830601,356.5,948.0,205.98253147444575,987890.0,0.34153005464480873,2918,High
38,331.44159836065575,360.0,816.0,182.45971330947827,970461.0,0.5122950819672131,2913,High
6,309.99590163934425,315.0,935.0,183.4427528612711,907668.0,0.5806010928961749,2911,High
59,309.5,340.0,870.0,213.04397245366602,906216.0,0.4098360655737705,2916,High
65,303.15744535519127,330.0,846.0,191.64604660839117,887645.0,0.7172131147540983,2907,High
17,290.5061475409836,325.0,779.0,163.0705430544562,850602.0,0.34153005464480873,2918,High
48,283.5515710382514,292.5,946.0,163.2738599268714,830239.0,0.4098360655737705,2916,High
23,272.0379098360656,302.0,663.0,157.9961583649512,796527.0,0.6147540983606558,2910,High
50,262.4972677595628,284.0,687.0,150.46501429070221,768592.0,0.5122950819672131,2913,High
58,258.26127049180326,273.0,728.0,165.08042487992216,756189.0,0.6147540983606558,2910,High
63,251.81079234972677,260.0,708.0,141.12861880001876,737302.0,0.4098360655737705,2916,High
8,248.2233606557377,245.0,779.0,140.995307636754,726798.0,0.3756830601092896,2917,High
53,222.8719262295082,230.0,565.0,126.31866387012006,652569.0,0.546448087431694,2912,High
64,216.96277322404373,185.0,805.0,151.41630973196516,635267.0,0.47814207650273227,2914,High
3,214.0512295081967,234.0,671.0,161.83864373484997,626742.0,3.2445355191256833,2833,High
