,RMSE,MAE,MAPE,R2,Median_AE,RMSE_norm
T2_S60_SARIMA,223.65451391476202,124.44014895679946,500.0,-1.0168708397163724,12.596963034944885,2.9836781290092174
T2_S60_XGBoost,38.902980247549024,12.342100420067345,43.23826255791505,0.9389777106684782,0.00016374369442928582,0.5189878321084416
T2_S60_LSTM,,,,,,
T2_S22_SARIMA,250.98465821848626,138.18126058610642,500.0,-0.798748114958332,0.01812894066550557,2.729655698996023
T2_S22_XGBoost,25.479374704160346,9.835468850686754,57.49605555877007,0.981462398914607,0.03859346732497215,0.27710825379423015
T2_S22_LSTM,,,,,,
T5_S31_SARIMA,222.4363623832409,113.6579843651224,500.0,-1.484425671760107,0.018494452911517523,4.123576347171471
T5_S31_XGBoost,25.363077138639856,7.698809730344671,36.36985122803288,0.9676988246888993,0.008276102133095264,0.4701865462095
T5_S31_LSTM,,,,,,
T0_S14_SARIMA,283.3020946638141,228.3650533233362,500.0,-1.9422990367715367,176.91781103881686,3.9090339859150625
T0_S14_XGBoost,20.12876446561396,7.098795804547137,24.903175874769722,0.9851467505599104,0.027636772021651268,0.27773894324338233
T0_S14_LSTM,,,,,,
T2_S48_SARIMA,213.72599113644614,115.07501276773829,500.0,-1.022754118317485,0.07420428107120214,2.9749405359610437
T2_S48_XGBoost,26.784643793522015,9.804978284797672,32.72379885498114,0.9682312472417658,0.011796097736805677,0.37282654364557505
T2_S48_LSTM,,,,,,
T2_S33_SARIMA,226.07443676734823,123.61075856670281,500.0,-1.007513603876692,0.0013098306177454998,2.913851394302666
T2_S33_XGBoost,18.141864841905328,7.31463053831346,49.548153112847636,0.9870723544509926,0.01991699729114771,0.23382872880597738
T2_S33_LSTM,,,,,,
T2_S7_SARIMA,226.8492033569066,126.0864750340055,500.0,-0.7720465874569822,0.016067405338320184,2.7079123569430212
T2_S7_XGBoost,26.43157590267743,10.189043914641891,36.501212323737526,0.9759427083488947,0.017769495025277138,0.3155152847847039
T2_S7_LSTM,,,,,,
T2_S65_SARIMA,449.6571114926171,246.2717816509106,500.0,-0.9661848421548429,0.14471075510323436,2.9084654710911177
T2_S65_XGBoost,29.88776045839261,11.107439163297473,42.85076187955642,0.991313433301481,0.028530443087220192,0.19331956968928002
T2_S65_LSTM,,,,,,
T2_S59_SARIMA,235.5178798009802,126.73612613329863,500.0,-1.0191741641425067,0.019920928892311604,2.9549307767044724
T2_S59_XGBoost,29.15671288434253,10.313557415023464,89.44431353259735,0.9690540987691695,0.0038066324777901173,0.3658154035790577
T2_S59_LSTM,,,,,,
T0_S15_SARIMA,261.65637731049156,146.0218835916851,500.0,-0.9320293744782944,12.380758750327235,3.1298430595408395
T0_S15_XGBoost,18.987191223993456,6.913478330418281,32.92056426189283,0.989826449966126,0.02880100253969431,0.2271182123800192
T0_S15_LSTM,,,,,,
T2_S26_SARIMA,291.5516136222648,158.83856592721037,500.0,-1.1362915116764496,0.002546731939463767,3.006279897725123
T2_S26_XGBoost,19.95518128652447,7.888519494893596,67.56987376557177,0.9899921457655739,0.006885996088385582,0.2057641170693825
T2_S26_LSTM,,,,,,
T1_S10_SARIMA,198.9459834205643,99.29668055817758,500.0,-1.216317385295656,0.02554336721753904,4.01271091824108
T1_S10_XGBoost,23.738664420904705,6.880812330409031,84.8597596133508,0.9684445655026505,0.00601103575900197,0.4788053333293839
T1_S10_LSTM,,,,,,
T1_S58_SARIMA,241.92693679400716,116.82354655834533,500.0,-1.2268742658689158,0.0060689958936719565,4.156239348145217
T1_S58_XGBoost,25.030001967231975,7.4686685453957775,180.1218773685128,0.9761631419150214,0.008293949998915195,0.4300086647603876
T1_S58_LSTM,,,,,,
T2_S27_SARIMA,314.5713965802509,172.33311546539989,500.0,-0.9825495666918007,0.025495162184717667,2.902283224527073
T2_S27_XGBoost,30.81772601077544,11.422110624907987,49.83269298992929,0.9809722790967511,0.04424301162362099,0.2843289955522944
T2_S27_LSTM,,,,,,
T2_S12_SARIMA,285.7448594348703,152.62232577113346,500.0,-0.9040202731438234,0.3120609608094003,2.9217551674083575
T2_S12_XGBoost,24.77679565478843,9.44131752849795,30.420932959497048,0.9856845503443062,0.010267743840813637,0.2533439477419514
T2_S12_LSTM,,,,,,
T2_S28_SARIMA,248.70612203078414,134.55413988570606,500.0,-0.849744813965448,0.08293072565536821,2.857826621457193
T2_S28_XGBoost,18.318289639232912,6.796886376374285,28.366770133322728,0.9899652002583345,0.0220230333507061,0.2104913838191868
T2_S28_LSTM,,,,,,
T0_S71_SARIMA,273.4571013250008,198.0562163870309,500.0,-1.5559272422937513,98.67374093948735,3.6354261291806615
T0_S71_XGBoost,23.897219851463788,7.994496672495567,38.14460315992389,0.9804806732932372,0.010369881987571716,0.3176972806404994
T0_S71_LSTM,,,,,,
T2_S0_SARIMA,255.4159567204628,141.2140049986394,500.0,-0.9130909079667244,0.049780554225227786,2.8194435764395274
T2_S0_XGBoost,25.598388674345607,9.336691171711236,38.62847914173446,0.9807839192871629,0.0033755144104361534,0.28257127487956935
T2_S0_LSTM,,,,,,
T2_S51_SARIMA,209.4670530699546,116.06371066747715,500.0,-0.8083068490983643,0.5775408511594693,2.711253737013925
T2_S51_XGBoost,23.588222784757836,8.804011673374106,55.17281759183966,0.9770685707713125,0.014267988502979279,0.3053160687439157
T2_S51_LSTM,,,,,,
T2_S63_SARIMA,235.12938141409418,124.57516389575214,500.0,-0.8785344982594192,0.2502342641714195,2.91696092571287
T2_S63_XGBoost,27.70457872141619,9.371396173150712,46.108851023817685,0.9739199467564155,0.03173354081809521,0.3436966197405354
