,RMSE,MAE,MAPE (%)
VAR,61.23193959035549,43.54655837746935,28.95482808693531
XGBoost,51.472763566064614,35.242562173100126,25.45704929359718
ConvLSTM,0.0261090009218798,0.014222600523799365,14.610291189781144
