,MSE,RMSE,MAE,MAPE
Overall,0.0006816799291387201,0.0261090009218798,0.014222600523799365,14.610291189781144
11,,0.058411403104480786,0.039303041225019944,11.478106823000694
55,,0.038546059242751965,0.02599732473975226,19.63994630095453
1,,0.03355813147464213,0.02460119295759163,13.218193780222807
29,,0.026319807815581582,0.01914910788639459,9.185598660699977
88,,0.029088720367382453,0.021566686254398715,11.377897672886547
68,,0.023942223323968025,0.017156884243065364,9.761304831999967
38,,0.022798744834032655,0.01825343297745425,14.70300150005067
43,,0.029034574013836432,0.02130806689485468,15.550998209018566
59,,0.028013543537531296,0.021407802531877226,27.255834587654988
6,,0.024967501134738078,0.01881806867038117,13.932029531322657
