Feature,Importance
59_lag_1,0.15222312808036803
59_lag_2,0.07801193706327467
11_lag_1,0.06670522523345426
43_lag_1,0.056261764105875044
38_lag_1,0.04414232873241417
55_lag_1,0.030417166411643846
1_lag_1,0.02994743249146268
hour_cos,0.026838116417638957
29_lag_1,0.01984629046637565
29_lag_11,0.017873920360580088
88_lag_1,0.017375479092879686
29_lag_12,0.016622873261803763
hour_sin,0.015774871280882508
6_lag_1,0.014529862778726966
68_lag_1,0.01111665616335813
29_lag_24,0.010019379953155294
6_lag_24,0.009409452968975529
hour,0.008950449850817676
is_rush_hour,0.008949975739233196
43_lag_24,0.008707910208613612
1_lag_23,0.008560567209497095
88_lag_16,0.00805496236862382
59_lag_24,0.007943274505669251
1_lag_22,0.007705055922269821
59_lag_11,0.005617917496419977
59_rolling_mean_6,0.005271373306459282
1_lag_11,0.005270218868099618
88_lag_24,0.005228344560600817
55_lag_22,0.0050670502678258345
43_lag_10,0.005043904650665354
55_lag_24,0.0044856313121272254
38_lag_2,0.004196408303687349
59_lag_3,0.004102361027617007
6_lag_21,0.00404166696825996
29_lag_2,0.003952294401824474
88_lag_17,0.0039455488469684495
88_lag_5,0.0039053373446222396
1_lag_21,0.003879579540807754
day_of_week,0.0037368381745181978
1_lag_19,0.003627943739411421
1_rolling_mean_24,0.0035821038924041203
59_lag_5,0.00329401628987398
55_lag_20,0.003257723929709755
29_lag_17,0.0032248273433651774
43_lag_22,0.003103291196748614
59_lag_8,0.0029829628649167715
38_lag_16,0.0029398832586593924
38_lag_3,0.0028831553034251558
dow_sin,0.00285533603746444
88_rolling_mean_6,0.002807843146729283
59_lag_21,0.0027949994371738287
59_lag_4,0.0027337687177350746
38_lag_24,0.002694775932468474
1_lag_4,0.002603466430446133
is_weekend,0.002523886243579909
11_lag_11,0.002450276161835063
55_lag_21,0.002448129601543769
59_lag_7,0.0023941520019434394
29_lag_23,0.0023754454625304787
1_lag_24,0.002373627488850616
68_lag_4,0.0023502732976339756
68_lag_3,0.00231598063983256
68_lag_24,0.002258232227177359
88_lag_10,0.0022307264589471743
68_lag_9,0.002224374478100799
29_lag_9,0.002163911535171792
88_lag_4,0.0021618320213747213
55_lag_23,0.0021179522547754457
29_lag_5,0.002082953811623156
59_lag_10,0.0020569648244418205
88_lag_22,0.0019118017225991935
55_lag_18,0.0019064865948166699
6_lag_23,0.0018932072314783
55_lag_2,0.0018453147291438653
1_lag_10,0.0018432533790473827
43_rolling_mean_6,0.0018387090953183361
29_lag_10,0.0018167179019656031
88_lag_11,0.0017414094414561986
43_lag_3,0.0017086118721636012
29_rolling_std_6,0.0016495853225933388
68_lag_16,0.0016450283474114258
29_rolling_mean_6,0.0016276311478577554
1_lag_20,0.0016263010402326472
29_lag_8,0.0015885430650087074
11_lag_5,0.0015650490939151495
88_lag_21,0.0015605241394951008
11_lag_24,0.00155883084225934
43_lag_6,0.0015531137818470598
55_rolling_mean_24,0.0014701950742164627
38_lag_12,0.0014574627537513151
55_lag_7,0.0014384096037247218
38_rolling_std_6,0.0014357049338286742
68_rolling_mean_6,0.0014304041920695453
38_lag_4,0.0014179411926306784
59_lag_23,0.0013079446274787188
29_rolling_mean_24,0.0013032833201577887
55_lag_17,0.0012906708652735688
68_lag_10,0.001265691063599661
55_lag_19,0.001241125563683454
6_lag_2,0.0012282911280635743
29_lag_4,0.0012217572249937803
68_lag_23,0.001211749273352325
11_rolling_std_6,0.0012079070729669183
55_lag_3,0.001201653474709019
1_lag_15,0.0011990875049377792
6_lag_22,0.001182168861851096
38_lag_9,0.001181850041029975
55_lag_11,0.0011538750550244004
11_rolling_mean_6,0.0011430191370891407
38_lag_11,0.001139362902904395
11_lag_21,0.0010994920769007877
43_lag_4,0.0010979603917803614
68_lag_5,0.0010915681996266358
6_lag_10,0.0010885332914767787
11_lag_4,0.0010829409264260903
1_lag_9,0.0010624090995406733
29_lag_3,0.0010616635612677784
29_lag_16,0.001056339844944887
55_rolling_std_6,0.0010269980499288066
68_lag_8,0.0010126122797373682
88_lag_6,0.001009157722000964
43_lag_8,0.0009926808077580062
68_lag_11,0.0009887518870527856
1_lag_3,0.0009837884193984793
55_lag_16,0.0009809296956518666
55_rolling_mean_6,0.0009702229319373146
68_lag_2,0.0009644200355978683
38_rolling_mean_6,0.0009607994725229219
11_lag_3,0.0009493105666479096
68_lag_20,0.0009416437838808634
1_lag_12,0.0009355954272905365
38_lag_20,0.0009318689626525156
43_lag_17,0.0009313430826296098
43_lag_2,0.0009293094859458506
68_lag_21,0.0009286353539209813
38_lag_23,0.0009194251178996637
11_lag_10,0.0009178878375678323
55_lag_4,0.0009160515735857188
43_lag_23,0.0009104337223106995
1_lag_17,0.0009082471864530816
6_lag_4,0.0009069851104868576
88_lag_3,0.0009029082772030961
59_lag_9,0.0008955231547588483
55_lag_14,0.0008919430925743655
1_lag_2,0.0008868454315233976
1_rolling_mean_6,0.0008861346796038561
38_lag_10,0.0008773984096478671
43_lag_12,0.0008715669857338071
88_lag_8,0.0008629269286757335
43_lag_13,0.0008604172646300868
1_lag_16,0.000860229242243804
38_rolling_mean_24,0.0008530967490514741
11_lag_12,0.0008498224997310899
59_lag_15,0.0008461157965939492
1_lag_18,0.0008239808026701212
68_lag_6,0.0008078711325651966
1_rolling_std_6,0.0008073517499724403
6_rolling_std_6,0.0008064421213930473
88_rolling_mean_24,0.0008024056951398961
88_lag_19,0.0008009986966499127
55_lag_10,0.0007997148437425494
43_lag_11,0.0007856446885853074
29_lag_20,0.0007834531104890629
88_lag_23,0.0007830194968846627
43_lag_5,0.000782899625482969
6_lag_12,0.0007603293517604471
6_lag_5,0.000752693461254239
6_lag_16,0.0007495720201404765
43_lag_15,0.000749210242065601
38_lag_14,0.000733927745022811
11_lag_9,0.0007299492586753331
59_lag_6,0.0007233547687064857
55_lag_9,0.0007199400220997632
68_rolling_std_6,0.0007153300452046096
68_lag_13,0.0007136994812753983
88_lag_7,0.000711290814797394
59_lag_13,0.000706695685221348
6_lag_17,0.0007034988433588296
11_lag_2,0.0007015119612333365
68_lag_15,0.0006982049409998581
43_lag_7,0.0006908406372531317
38_lag_13,0.0006904246300109662
29_lag_15,0.0006902171924593858
68_lag_19,0.0006899176980368793
38_lag_6,0.0006879544467665255
88_rolling_std_6,0.000685404147952795
59_rolling_mean_24,0.0006785107572795824
38_lag_8,0.000677172711584717
1_lag_13,0.0006757423048838973
68_lag_7,0.0006723213926306925
38_lag_7,0.000670691963750869
68_rolling_mean_24,0.0006694944386254065
11_lag_18,0.0006692510418361053
88_lag_9,0.0006649383052717894
88_lag_15,0.0006609123898670078
43_rolling_std_6,0.0006567052332684398
38_lag_17,0.0006506505014840513
11_lag_23,0.0006471134460298344
29_lag_13,0.0006465645215939731
68_lag_22,0.000639979045081418
6_lag_19,0.0006374212302034721
43_lag_14,0.0006326711547444575
55_lag_5,0.000625772874627728
43_rolling_mean_24,0.0006212948297616095
59_lag_19,0.0006198905874043703
11_lag_7,0.0006184095422213431
88_lag_12,0.0006162126883282326
6_lag_11,0.0006145067498437129
88_lag_18,0.0006130159512395039
11_lag_6,0.0006126073923951481
29_lag_7,0.0006106431057560258
38_lag_15,0.0006103457126300782
6_rolling_mean_6,0.0006071747426176444
11_rolling_mean_24,0.0006057975755538791
68_lag_17,0.0006037204235326499
68_lag_18,0.000601122782973107
6_lag_18,0.0005990483245113864
68_lag_12,0.0005974192288704216
1_lag_8,0.0005844377410539892
55_lag_15,0.0005833313975017518
11_lag_19,0.0005801126841106452
6_lag_6,0.0005749588730395771
38_lag_18,0.0005732605757657438
6_lag_3,0.0005680423477315344
43_lag_9,0.0005677187800756656
88_lag_13,0.0005673419131198898
6_lag_7,0.0005668829457135871
55_lag_12,0.0005655309156281874
6_lag_14,0.0005650527025863993
59_rolling_std_6,0.0005635312059894204
6_lag_8,0.0005610518957837485
1_lag_5,0.0005576437484705821
29_lag_14,0.0005561659607337787
38_lag_22,0.0005559303550398909
43_lag_19,0.0005552347196498886
43_lag_18,0.0005525126063730568
38_lag_19,0.0005497255478985608
59_lag_12,0.0005472568082041107
88_lag_2,0.0005462435452500358
6_lag_20,0.0005340026356861927
dow_cos,0.0005261691054329276
11_lag_14,0.0005238426616415382
59_lag_17,0.0005207764159422367
11_lag_13,0.000516319990856573
38_lag_21,0.0005151350676896981
43_lag_16,0.0005138498148880899
59_lag_18,0.0005086470395326614
11_lag_8,0.0005074428030638955
59_lag_14,0.0005041437660111114
6_lag_9,0.0004990151515812613
6_lag_15,0.0004976787182386033
11_lag_15,0.0004894912184681743
11_lag_17,0.0004810448779608123
11_lag_22,0.00047069280553841964
1_lag_14,0.00046797664399491625
6_lag_13,0.00046013107057660816
11_lag_16,0.0004599921448971145
59_lag_16,0.00045684583456022664
59_lag_20,0.0004549319593934342
38_lag_5,0.0004528598168690223
29_lag_18,0.0004509422826231457
6_rolling_mean_24,0.00044244860764592887
43_lag_21,0.0004393449082272127
29_lag_21,0.00043358470138628037
55_lag_13,0.00043216171907261013
88_lag_14,0.0004266141710104421
43_lag_20,0.00041984264316852205
1_lag_6,0.0004131883848458529
88_lag_20,0.0004128046944970265
68_lag_14,0.00040826187905622645
11_lag_20,0.0003819519333774224
55_lag_6,0.0003742462446098216
29_lag_22,0.00037220642843749374
55_lag_8,0.00036496021784842013
29_lag_6,0.0003598779410822317
29_lag_19,0.00034376529656583444
59_lag_22,0.0003336526235216297
1_lag_7,0.00031235408096108586
