hierarchical_cluster_id,temporal_id,spatial_id,size,pct,center_lat,center_lon,spread_km,peak_hour,avg_distance_km,avg_duration_min,avg_fare,lat_min,lat_max,lon_min,lon_max
T0_S0,0.0,0.0,2412.0,0.1608,40.78413375930407,-73.97884841463458,0.0877642235935917,8.0,1.9119983410515249,11.451430348258706,9.845356550580432,40.78099060058594,40.787620544433594,-73.98334503173828,-73.97470092773438
T0_S1,0.0,1.0,2631.0,0.1754,40.785391527362215,-73.9712651222661,0.1087426695421185,8.0,1.902409729342844,11.459685797542127,9.799695933105284,40.77939987182617,40.789573669433594,-73.9748764038086,-73.96488952636719
T0_S2,0.0,2.0,2078.0,0.13853333333333334,40.77124226655492,-73.9811259279811,0.06954147821967645,8.0,1.699499518403477,11.811701957009946,9.62512030798845,40.7684211730957,40.77363204956055,-73.98555755615234,-73.97650146484375
T0_S3,0.0,3.0,702.0,0.0468,40.70642754970453,-74.01661632135723,0.06289454741412132,8.0,3.1002279220737963,14.502184235517568,13.141737891737892,40.70412826538086,40.7087516784668,-74.01810455322266,-74.01310729980469
T0_S4,0.0,4.0,2865.0,0.191,40.7460238338557,-73.97340522486502,0.19117911522899225,8.0,1.8797242566136998,11.532897033158813,9.996684118673647,40.73019027709961,40.74922180175781,-73.97709655761719,-73.95170593261719
T0_S5,0.0,5.0,2189.0,0.14593333333333333,40.759455461706835,-73.99383534814409,0.06082481246997918,7.0,1.626601187220416,10.685396680371554,9.083371402466879,40.756710052490234,40.76272964477539,-73.99706268310547,-73.99066925048828
T0_S6,0.0,6.0,2834.0,0.18893333333333334,40.75426397680311,-73.98678717010864,0.07129520386502174,13.0,1.5199117862534675,10.847083039284874,8.953069865913903,40.75141525268555,40.75756072998047,-73.98961639404297,-73.98397827148438
T0_S7,0.0,7.0,5594.0,0.37293333333333334,40.77056454469955,-73.96332105432701,0.09499011558873052,8.0,1.4949481589216866,10.595358121797164,8.834554880228817,40.76675033569336,40.77510452270508,-73.96846008300781,-73.95899200439453
T0_S8,0.0,8.0,2048.0,0.13653333333333334,40.721096623688936,-74.0088107958436,0.12684035678902075,8.0,2.3384375003588502,13.259090169270834,11.251220703125,40.71686553955078,40.72685623168945,-74.01392364501953,-74.00437927246094
T0_S9,0.0,9.0,2535.0,0.169,40.758301559237566,-73.96142779468785,0.2580404574213796,8.0,1.9981104547837547,11.83458251150559,10.414990138067061,40.736270904541016,40.76163101196289,-73.9646987915039,-73.95013427734375
T0_S10,0.0,10.0,3682.0,0.24546666666666667,40.75927124458574,-73.97068961711761,0.07745506283714808,12.0,1.6101113524407327,11.574402498642042,9.440657251493754,40.75564956665039,40.762630462646484,-73.97340393066406,-73.9679183959961
T0_S11,0.0,11.0,1312.0,0.08746666666666666,40.70524891411386,-74.00837715079145,0.0751883226366153,8.0,3.6144054871983826,16.5416031504065,14.93673780487805,40.701690673828125,40.70869827270508,-74.01142883300781,-74.0049819946289
T0_S12,0.0,12.0,2908.0,0.19386666666666666,40.754968870128856,-73.98199287372573,0.08989835887232334,12.0,1.5687001377748944,11.431247134342044,9.29006189821183,40.7511100769043,40.758548736572266,-73.98454284667969,-73.97941589355469
T0_S13,0.0,13.0,2346.0,0.1564,40.78885560064161,-73.97630453475601,0.08086446393659256,8.0,2.0216410895055263,11.826037226484797,10.165174765558397,40.78519058227539,40.79277038574219,-73.98145294189453,-73.97307586669922
T0_S14,0.0,14.0,6811.0,0.4540666666666667,40.75179732337675,-73.97722500386769,0.0737105028108412,8.0,1.7270606361934484,12.093990114031223,9.881294964028777,40.74816131591797,40.75416946411133,-73.980712890625,-73.97441101074219
T0_S15,0.0,15.0,7452.0,0.4968,40.74968742722795,-73.99113415929494,0.1024385238582375,7.0,1.6088929151065379,11.904238235820362,9.48262211486849,40.745521545410156,40.75290298461914,-73.99315643310547,-73.98828887939453
T0_S16,0.0,16.0,4198.0,0.27986666666666665,40.76398257836664,-73.97916550474999,0.0709941572051373,13.0,1.7172868026810042,12.863585834524375,10.091948546927108,40.760311126708984,40.768280029296875,-73.98236083984375,-73.97666931152344
T0_S17,0.0,17.0,527.0,0.035133333333333336,40.70372526107296,-73.95052918175367,1.115717633466436,3.0,2.846925996074301,13.759266287160026,12.352941176470589,40.635921478271484,40.73133087158203,-73.96954345703125,-73.883056640625
T0_S18,0.0,18.0,3806.0,0.2537333333333333,40.76756210748108,-73.9831875687327,0.07364692706320548,13.0,1.628901735842776,11.566066736731475,9.434708355228587,40.764461517333984,40.77111053466797,-73.98633575439453,-73.97994232177734
T0_S19,0.0,19.0,1970.0,0.13133333333333333,40.77578838561392,-73.98808890018367,0.12873957803811548,8.0,1.8875532963024784,11.987301184433166,9.947715736040609,40.771541595458984,40.79130935668945,-74.014892578125,-73.98500061035156
T0_S20,0.0,20.0,1030.0,0.06866666666666667,40.82450144128892,-73.94489356476126,0.4624218725544917,7.0,3.076446596511359,13.350161812297737,12.62135922330097,40.81032180786133,40.84272766113281,-73.95601654052734,-73.9078598022461
T0_S21,0.0,21.0,3279.0,0.2186,40.77261687706578,-73.94457874722727,0.4817370018077047,7.0,2.43376334042684,12.032555657212566,11.062214089661483,40.756866455078125,40.778133392333984,-73.95098114013672,-73.92047119140625
T0_S22,0.0,22.0,2339.0,0.15593333333333334,40.79414683909129,-73.97253148868687,0.11179436760686097,8.0,2.1872082088825895,12.00287159754881,10.563061137238137,40.78969955444336,40.8045654296875,-73.98604583740234,-73.96939086914062
T0_S23,0.0,23.0,1488.0,0.0992,40.72801850688073,-73.98034043978619,0.10715462263575284,10.0,2.0183131731195396,11.447569444444442,10.043346774193548,40.724369049072266,40.73196029663086,-73.98467254638672,-73.96780395507812
T0_S24,0.0,24.0,1403.0,0.09353333333333333,40.76007905553599,-73.94920419813987,0.4206781285967709,10.0,2.4734925145252804,14.431301971964839,12.250534568781184,40.73751449584961,40.7664794921875,-73.95631408691406,-73.929443359375
T0_S25,0.0,25.0,2862.0,0.1908,40.78029096884631,-73.98194876990061,0.07520622362533566,12.0,1.7607407407024205,11.082710225949219,9.440426275331935,40.777748107910156,40.78469467163086,-73.98710632324219,-73.97899627685547
