temporal_cluster_id,size,pct,pattern_name,peak_hour,peak_weekday,weekday_pct,morning_rush,midday,evening_rush,night
0,256226,17.081733333333332,Weekday Morning Rush,8,2,100.0,37.79710099677629,41.268645648763204,0.0,3.663562636110309
1,256347,17.0898,Weekend/Night,14,6,11.082634085828975,3.9442630496943596,39.36617163454224,28.944360573753546,0.0
2,288297,19.2198,Weekday Evening Rush,18,2,100.0,0.0,0.0,39.05139491565989,22.564230637155433
3,249130,16.608666666666668,Weekday Evening Rush,19,4,100.0,0.0,0.0,34.75414442259061,34.16770360855778
4,203030,13.535333333333334,Weekend/Night,0,5,11.480569373984139,1.2032704526424667,0.0,0.0,76.02817317637788
5,246970,16.464666666666666,Weekday Morning Rush,9,3,88.99866380532049,35.15730655545208,35.431428918492124,0.0,3.383406891525286
